onset	duration	trial	condition
5.04	5.002	1	1
12.587	5.002	2	1
19.656	5.002	3	1
26.723	5.002	4	1
34.457	5.002	5	1
42.106	5.002	6	1
49.697	5.002	7	1
56.751	5.002	8	1
64.717	5.002	9	1
72.0	5.002	10	1
104.465	5.002	11	2
112.285	5.002	12	2
119.801	5.002	13	2
126.682	5.002	14	2
134.115	5.002	15	2
141.924	5.002	16	2
149.684	5.002	17	2
156.925	5.002	18	2
164.868	5.002	19	2
172.15	5.002	20	2
204.015	5.002	21	1
211.953	5.002	22	1
218.938	5.002	23	1
226.813	5.002	24	1
234.835	5.002	25	1
242.408	5.002	26	1
249.35	5.002	27	1
256.724	5.002	28	1
263.561	5.002	29	1
271.297	5.002	30	1
303.226	5.003	31	2
310.135	5.002	32	2
317.876	5.002	33	2
325.483	5.002	34	2
332.833	5.002	35	2
339.961	5.002	36	2
346.789	5.002	37	2
353.847	5.002	38	2
360.804	5.002	39	2
368.145	5.002	40	2
400.382	5.002	41	1
407.509	5.002	42	1
414.365	5.002	43	1
421.712	5.002	44	1
429.654	5.002	45	1
437.526	5.002	46	1
444.601	5.002	47	1
451.952	5.002	48	1
459.468	5.002	49	1
467.164	5.002	50	1
499.949	5.002	51	2
507.843	5.002	52	2
515.128	5.002	53	2
522.419	5.002	54	2
530.029	5.002	55	2
537.534	5.002	56	2
545.104	5.002	57	2
551.937	5.002	58	2
559.218	5.002	59	2
566.816	5.002	60	2
598.793	5.002	61	1
606.523	5.002	62	1
614.34	5.002	63	1
622.082	5.002	64	1
629.68	5.002	65	1
637.407	5.002	66	1
644.28	5.002	67	1
652.148	5.002	68	1
660.121	5.002	69	1
667.249	5.002	70	1
699.791	5.002	71	2
706.835	5.002	72	2
714.674	5.002	73	2
721.528	5.002	74	2
729.117	5.002	75	2
736.354	5.002	76	2
744.319	5.002	77	2
751.771	5.002	78	2
759.324	5.002	79	2
766.303	5.002	80	2
798.661	5.002	81	1
806.629	5.002	82	1
814.168	5.002	83	1
821.226	5.002	84	1
828.611	5.002	85	1
836.055	5.002	86	1
843.266	5.002	87	1
850.134	5.002	88	1
857.786	5.002	89	1
864.922	5.002	90	1
897.757	5.002	91	2
904.917	5.002	92	2
912.297	5.002	93	2
919.672	5.002	94	2
927.577	5.002	95	2
934.768	5.002	96	2
942.498	5.002	97	2
949.474	5.002	98	2
956.672	5.002	99	2
964.512	5.002	100	2
