onset	duration	trial	condition
5.047	5.002	1	1
12.756	5.002	2	1
20.254	5.002	3	1
27.235	5.002	4	1
34.068	5.002	5	1
41.804	5.002	6	1
48.871	5.002	7	1
56.002	5.002	8	1
63.496	5.002	9	1
71.388	5.002	10	1
104.04	5.002	11	2
110.969	5.002	12	2
117.953	5.002	13	2
124.864	5.002	14	2
132.774	5.002	15	2
139.961	5.002	16	2
146.81	5.002	17	2
154.32	5.002	18	2
162.124	5.002	19	2
169.278	5.002	20	2
201.253	5.002	21	1
208.481	5.002	22	1
216.336	5.002	23	1
223.796	5.002	24	1
231.799	5.002	25	1
238.642	5.002	26	1
246.498	5.002	27	1
254.332	5.002	28	1
261.207	5.002	29	1
269.004	5.002	30	1
301.99	5.002	31	2
309.825	5.002	32	2
316.718	5.002	33	2
323.549	5.002	34	2
331.561	5.002	35	2
338.699	5.002	36	2
346.276	5.002	37	2
354.087	5.002	38	2
361.865	5.002	39	2
369.32	5.002	40	2
402.122	5.002	41	1
409.046	5.002	42	1
416.269	5.002	43	1
423.407	5.002	44	1
430.92	5.002	45	1
438.854	5.002	46	1
446.877	5.002	47	1
454.025	5.002	48	1
461.512	5.002	49	1
468.834	5.002	50	1
501.564	5.002	51	2
508.596	5.002	52	2
516.15	5.002	53	2
523.242	5.002	54	2
531.017	5.002	55	2
538.009	5.002	56	2
544.842	5.002	57	2
552.374	5.002	58	2
560.178	5.002	59	2
567.327	5.002	60	2
599.359	5.002	61	1
607.228	5.002	62	1
615.154	5.002	63	1
622.217	5.002	64	1
629.578	5.002	65	1
636.624	5.002	66	1
644.628	5.002	67	1
652.162	5.002	68	1
659.373	5.002	69	1
666.853	5.002	70	1
699.505	5.002	71	2
707.453	5.002	72	2
714.284	5.002	73	2
721.73	5.003	74	2
729.687	5.002	75	2
737.543	5.002	76	2
744.674	5.002	77	2
752.569	5.002	78	2
760.233	5.002	79	2
767.146	5.002	80	2
799.755	5.002	81	1
807.501	5.002	82	1
815.522	5.002	83	1
823.42	5.002	84	1
831.159	5.002	85	1
838.588	5.002	86	1
845.935	5.002	87	1
853.68	5.002	88	1
861.061	5.002	89	1
868.653	5.002	90	1
900.802	5.002	91	2
908.398	5.002	92	2
916.312	5.002	93	2
923.399	5.002	94	2
930.774	5.002	95	2
938.164	5.002	96	2
945.304	5.002	97	2
953.167	5.002	98	2
960.443	5.002	99	2
968.29	5.002	100	2
